id_init,film_1,film_2,film_3,film_4,film_5,film_6,film_7,film_8,film_9,film_10
0,15,236,160,3634,95,112,39,1334,10,52
1,13,205,18,108,629,21,15,236,127,81
2,149,3493,252,2944,717,1166,1312,172,169,505
3,66,441,980,664,2015,4841,97,1332,1658,418
4,4924,4714,4884,4992,4945,4323,4179,4764,4018,4702
5,522,495,75,92,1367,176,53,601,52,36
7,125,582,1913,971,56,927,752,55,87,765
8,27,80,794,86,32,69,52,112,176,95
9,285,202,1819,2061,178,195,115,351,3930,1990
10,53,52,36,176,112,65,42,95,1112,1700
11,36,53,10,176,42,52,65,112,1112,1700
12,3493,2,2944,717,149,252,1166,1312,3891,172
13,1,205,18,108,629,15,236,21,127,340
14,4339,1362,37,1,513,13,205,1487,18,861
15,236,3634,0,39,433,112,52,176,95,10
16,301,140,1077,110,346,378,3129,2447,1497,3751
18,1,13,205,108,629,21,15,127,236,81
19,152,352,682,1119,5,73,2820,248,15,637
20,270,23,99,49,108,3457,629,2473,15,21
21,864,39,108,629,15,1,13,236,127,205
22,173,3346,825,640,193,81,3967,137,2213,4672
23,99,49,108,3457,629,4285,15,21,1,340
24,49,23,99,1897,108,3129,110,346,378,3457
26,2757,417,1630,477,2244,1538,408,1114,1606,893
27,8,80,86,794,32,69,65,52,176,10
28,164,968,432,778,197,57,389,3908,239,29
29,968,432,57,778,3908,185,239,1334,219,230
31,161,3461,51,1179,108,629,170,130,15,236
32,8,27,69,10,112,53,52,176,36,95
34,210,123,47,2113,1660,239,690,3462,1432,2168
35,238,298,2301,1095,1588,2665,119,2685,448,338
36,53,176,42,52,10,112,65,1112,95,1700
37,36,53,42,10,176,52,65,112,1112,1700
39,21,15,236,864,3634,433,520,0,52,176
41,583,2685,338,209,180,323,963,1670,298,1395
42,36,53,176,52,65,10,1700,112,1112,95
43,1588,298,2301,35,119,338,1095,2665,2685,448
44,160,109,1334,76,0,176,52,53,36,42
45,724,1332,2261,1549,515,418,776,2269,2441,1478
46,1882,968,432,57,778,1528,1928,1092,3908,29
47,123,239,3462,236,15,526,57,968,432,778
